
"first_seen_utc", "sha256_hash", "md5_hash", "sha1_hash", "reporter", "file_name", "file_type_guess", "mime_type", "signature", "clamav", "vtpercent", "imphash", "ssdeep", "tlsh"
"2024-11-05 10:01:35", "e65b3fcbd8ef701cae1ecd550d1e9eeafd6dcd7f03ee66f75187634e65084873", "c6cff17dc3888e7f0bdba8d8a48d3f9a", "c99b2909572979aa94c2c27b2a9ba1e9bd6dd139", "abuse_ch", "bins.sh", "sh", "text/x-shellscript", "n/a", "n/a", "n/a", "n/a", "192:pCbLv3AlFIT/PrlssgPzmqhMUY1iq0cnmUY1iqslFIT/PV8sgPzmq6v3Hx:pCbLv3AlFITXrlwZMUY1iq0cnmUY1iqZ", "T1F7229CC5220C251B1971CF1E74AE14D4A648BD805DCDCA6A88C879E9C58DFFFB4C2EB9"
"2024-11-05 10:00:47", "c5a0093fbe23781df248331f8e2ecd613aa8fafc31a0dc9b00d2fa193c6cc970", "f9466d10ddecedac00f04df8a0b935ed", "c241366f50ee84c505790b6a5c9a5c656ce3bbee", "lowmal3", "RDQ... NOV.exe", "exe", "application/x-dosexec", "Formbook", "n/a", "31.94", "948cc502fe9226992dce9417f952fce3", "24576:rqDEvCTbMWu7rQYlBQcBiT6rprG8a4FZZDL9hIveeKA7ZFY94KrZWTnKe8s:rTvC/MTQYxsWR7a4ND5+v9sCKNWC", "T1C675D00273C1C062FFAB92334B5AF6515ABC69260123E52F13A81D7DBE705B1563E7A3"
"2024-11-05 10:00:19", "775b30ab75e2de3490312538d80499929a408fb6c594abc6ddf5cf4bd456af31", "c67abd02b6ee7f0fb0c67a0c248ea280", "53764955ed5d3b72984b7fe8bb2d74453d1f3f58", "mohit", "Bộ Chính Phủ.apk", "apk", "application/zip", "GoldDigger", "n/a", "44.78", "n/a", "393216:UXmQqqaHuvbptTDlHvPxXlESrJpjU8Tpj8BNbjORLOgN++E:UamZHXr3jr+nKLOgpE", "T181172247F384ACAAC4FB53324A79123665078D294B43CB876E1976382AB36D44F5DFC8"
"2024-11-05 10:00:18", "ebc7577a5a30f2110725657a7fd9fb779209c11c3cecc41824db1d13dc2d1aee", "d3e321ae2428648bd5a282d473fb4118", "d4495926d8b581725f62e17f12737c8a25217428", "lowmal3", "PO_63738373663838____________________________________________________________________________.exe", "exe", "application/x-dosexec", "n/a", "n/a", "27.78", "f34d5f2d4577ed6d9ceec516c1f5a744", "6144:A99LXSESARSjdqIFdooVB9XtS5vj3AeocE7rri:ADrhY89l3E7r", "T15384D903B697A6A2EA456B36C5DB040087B4E8417FABD73E7D8E13A918C37B6DC01717"
"2024-11-05 10:00:08", "f6fda24f4ab0539a7764bcb13bf288503ebd4b7767141243b38ed678db62baaf", "832f262bbd6768c6051de06e39ae8390", "375ed1395d7b09abbf91a7523066cb928010c380", "Porcupine", "rFactura02Presupuesto_9209Urbia_pdf_.exe", "exe", "application/x-dosexec", "n/a", "n/a", "31.94", "b34f154ec913d2d2c435cbd644e91687", "24576:ohezwouRvTQx7WE/tII+WyGvuTVXXPP5GQ:S1ouRvGWE/udWvGJXPPIQ", "T1ED05D09239D9756FDC1F4A34031FEAB22AB55CE07381496E4F40360D5C36A4A90EEEDB"
"2024-11-05 09:59:49", "eca1698611d0301a4caa4217e3e37781aa1554efc4acd2eee6c9c81660f0468f", "c51fcedf8130a2afd2501d523121d827", "fcaf87a762c1d52d52b16821bc06cee0076c31b5", "lowmal3", "10298161191247019908.js", "js", "text/plain", "n/a", "n/a", "2.00", "n/a", "24576:v/edjBvc9v8GlmebSzSxlH8VaYTTQPh3VDavvp8nqQ3ClmtX3gwW7onqqpC9WZVd:v/edjBvc9kGlmebSzSxlH8VaYTTQPhVj", "T18235B036D0279BAF3C6B2CC441AAEB52C99EC6752C1734F485FF0856000E9DAED9685F"
"2024-11-05 09:58:53", "63ac85fa66152f936244088e40eb124a6888336a4508f8d3d63d818ad30e4280", "5f9342df635d0a624f0284fa5bbd8b54", "15c64139cc8663711d5521d49e867de1906e0f88", "lowmal3", "6Ctc0o7vhqKgjU7.exe", "exe", "application/x-dosexec", "RemcosRAT", "n/a", "25.00", "f34d5f2d4577ed6d9ceec516c1f5a744", "24576:3SovmQ+1DClLHxclthaYAsPxhNX7VuZQvuanF:3SMp+1DCllcnh5A+hNkCvuQ", "T19225F1E03B327729DEA94A34D259DDB692E20AA8B0447AF725DC3B5734CC112EE0CF55"
"2024-11-05 09:58:10", "f0c74afba8d113f54bfb3934d51d361939430955cced532a8268f6dcce8700a9", "f691d7c119df7258d6ee1e9a063d1007", "12f1647537ab69c0223b5baa09b3f24803c751a1", "lowmal3", "AWB.exe", "exe", "application/x-dosexec", "Formbook", "n/a", "34.33", "948cc502fe9226992dce9417f952fce3", "24576:jqDEvCTbMWu7rQYlBQcBiT6rprG8a3x86ROlotN1eTSy5oYteI4:jTvC/MTQYxsWR7a3x8wOlot2Thhe", "T1EA75E00233D1C022FF9B96734B5AF6515BBC6A260123A61F13981DBAFD701B1563E7A3"
"2024-11-05 09:57:55", "df99583b876c169028a4e9817489d6c3fe65c391903a9bf2db295cbabc4cdf63", "942d8839790190a0b7269d587425c3ef", "b61fb82d04980dc1453247536a95bb0f721eb59f", "Bitsight", "file", "exe", "application/x-dosexec", "n/a", "n/a", "43.06", "2eabe9054cad5152567f0699947a2c5b", "24576:iJOPLfOp3gaxn7RMZ1kcoel7BYjxe15w+OvCiuEcec1vbnvw1/cxY4bTTmtM8jau:HWGax7RMRDuxe7qChEeD80xPPmrGw+", "T1F6A53371957311B0C2A7DCF62ECAC1A877605E0429D89CAB4F27184B4CAFEB354BE724"
"2024-11-05 09:57:45", "a2ffee36f80aa7450c094f3d0340e9eda3ae58613b1f7ac19e57d0b91b8d3acd", "16f1c8aa951e83b4ea794bf5b66291e6", "9a7310bc9b25759b2a3b98c199dc7eb56605516f", "Bitsight", "file", "exe", "application/x-dosexec", "n/a", "n/a", "52.78", "2eabe9054cad5152567f0699947a2c5b", "49152:FuXpVJY4D4kW+2cRTYvlySpTrWv3UEf8rMakdJr:FyPY4D4kW+2ctalySpOvjf8rMJJr", "T19CD55B92B54672CBD48B13798517CD82AD5D43FA4B2108D3EC2DA47ABEA3CC116FDC29"
"2024-11-05 09:57:35", "2af2e2e694277245ed558625fdb66d512c551f410ec514b298ca8f1f0f11e725", "c0422b83abd61e0035dbc6e81a3b463b", "b92b19f91a4e5ab354e91fe36f1c6fe6ef4a8ce8", "lowmal3", "167321784226525836.js", "js", "text/plain", "n/a", "n/a", "11.29", "n/a", "12288:CGWbZh4ApC882x80QbLWbirbWxc/v7xxP/v7xxonrh:EZhY2xvQbaiXWxmfW", "T1E755B0A3DF3346D59F281FCC548ED6966D559A2B4F21F9738BCAA4034211F920BD388B"
"2024-11-05 09:57:07", "53cb4fe929ba6e2f55eee235546a277c9929ff01bfdaa290e0e49b434dabd5c6", "b450171a8ac13ca5f788878b48c39db4", "da40354faacdbefc240c234ece7893ee9da32a76", "mohit", "EVNCSKH.apk", "apk", "application/zip", "SpyNote", "n/a", "32.31", "n/a", "98304:JEd7YrUT6PLk28g7gCF14HTehTtNV8VZ9k3RC/9OQlpE9Au8mzRzBHTS0t6EOy:i7oScQg7HF14zU0Z9kBk9OQA9FrzXRf", "T109460143FB85DAAAD4BA83F06B370D992E171F08C6829ADB4454367D3D775C10EC6A8C"
"2024-11-05 09:55:07", "f539c8892d58f4fd0f4cf209ad0486f31ec5b51debd315ef8fb278f0d1b26637", "73ad64d14a97ce7ade406e497b09d85d", "afe35161360cbbe78396e17ef7638c0097af8428", "lowmal3", "Shipping documents.img", "img", "application/x-iso9660-image", "n/a", "n/a", "8.33", "n/a", "24576:8tdCzxWfKe9UR1FCBmjwGJkAQy4X1N4QNbJP71SIzKgopvgeum5hD4n:82xWfKe9E1rEGZQTXXdP78d91Pumv4n", "T1DC952317F700D8A2F23114B0AABEDB964B59BB2454515A0FF31CB72F3BB935886293D4"
"2024-11-05 09:54:59", "669bfc59550b87a86c5e87d33da3e63be15f8712184a6aa176e0021b8c65df1e", "0b67de290afdcb06218d5ab1a6c3c49b", "372ecac4cd7fe8de0f89aff4755683f8fed81a26", "lowmal3", "Shipping documents.bat", "exe", "application/x-dosexec", "n/a", "n/a", "20.83", "4ea4df5d94204fc550be1874e1b77ea7", "24576:ktdCzxWfKe9UR1FCBmjwGJkAQy4X1N4QNbJP71SIzKgopvgeum5hD4nA:k2xWfKe9E1rEGZQTXXdP78d91Pumv4nA", "T150652327F700D8A2F23114B0AABECB9A4B59BB2454515A0FF315F72F39B9358862D3D4"
"2024-11-05 09:54:35", "daae736c8f04197fdab7aca6a9d79492272b03b0b0fb7a9f844810c2737ad84d", "468e18a1e46996a9e12aeac76580c6ed", "4529b55ad5c142e320ca8e0916b175c61f7e8a92", "lowmal3", "purchase order P857248 dated 04112024.exe", "exe", "application/x-dosexec", "n/a", "n/a", "36.11", "948cc502fe9226992dce9417f952fce3", "24576:wqDEvCTbMWu7rQYlBQcBiT6rprG8a374rnT9exfxOkl:wTvC/MTQYxsWR7a37YT9exfxh", "T15D25AF0273D1C062FF9B92334B5AF6515BBC69260123E62F13A81D79BE701B1563E7A3"
"2024-11-05 09:53:31", "67dab49b9a7ffbbcbb5286dd9b2595eda9aaba06532f5cb54e0d26a82c1cf8ae", "047ae04c7c16ec7e669c512c7e0531c6", "ec1b9885bca406ecb97346466458d564349ccea7", "mohit", "h6ruq.apk", "apk", "application/zip", "n/a", "n/a", "30.77", "n/a", "786432:jvcVAXkoM43fgLXRifqF5w8GWBDgxsYTomii8JpzLu8jbAatLhOAWf4+Egdycj:zcVA0/4wYCF1jBbi8Jpq8jHLRWf4/vcj", "T1CEA73304A9A92936F623D3B09A1A444A771D5C4F226DC3AB4E5CE3107F3ECD89C61DDB"
"2024-11-05 09:52:43", "0b95079721d911f26b4f72076c2221a3384607bc64d59e80fe8feccb988f0b8d", "747e504dbd30a86838ecc4fdcfa6c2a1", "10b62524f8ca174fe6dc117f655286961366ae85", "lowmal3", "Fatemeh Aghajani Resume..exe", "exe", "application/x-dosexec", "n/a", "n/a", "27.78", "f34d5f2d4577ed6d9ceec516c1f5a744", "24576:G7OaabHiSPRJbwvIShkSRz3Vxfin8zS9F+QQDrm:HaabHpJJRiRzFx6n8zSHiDr", "T13205ACC03A367B29DEB95BB59924DCB003B51A68B045FAE65EDE77C7309D7106A08F03"
"2024-11-05 09:51:51", "9193b1f3f52dc71f0acabf085f534901c19d2e5148f7cc936b09ef89b662da62", "b287465c3f90735c55e41114738263bf", "c6e7b14d5e6105073a1b48382080e3eb7a1ac396", "lowmal3", "FedEx Receipt_700861436008.exe", "exe", "application/x-dosexec", "Formbook", "n/a", "35.21", "f34d5f2d4577ed6d9ceec516c1f5a744", "12288:ZJSoqX26bvYMaAhk1/mlle9E7RWGeVkB/vh+gphnDsZGkR:HSoqmmvGGXg9EQ3VkBXYg8L", "T14505E0E03B317718CEA95A34E259DDB592B11AA8B504BAF365DC3B5738CC212EE0CF15"
"2024-11-05 09:46:51", "caeb78e3e16364c46d3ed58c8ba0a0c67c09db052e455e728f2a54f20871ff44", "45337eb14e535ead6275a1d98cef8d52", "157a6f34926a5cba6e4eaad98753b782322d8fad", "mohit", "MEA (1).apk", "apk", "application/zip", "GoldDigger", "n/a", "36.00", "n/a", "786432:zougWChTGIabKVhDC2ojvcK8MsfmrRLB57FbtnZCHIdNOTHoyiVWC:zbgRsehDQZ8Ms+dN57FbtZuIPoaWC", "T1E6672347F3A4E89AC8F7573186760220A60A9D964B8397C37A14773C9DF36D48F4ABC4"
"2024-11-05 09:44:57", "76089a25e76533661a8e8712847e024151b6c7b390634edd8cf1968d04917e57", "0143accc4350dcc3d211d0453f0db35c", "90a15d873d020b9e89c81c3240835ea939302ead", "SecuriteInfoCom", "SecuriteInfo.com.Win32.MalwareX-gen.31091.14351", "exe", "application/x-dosexec", "n/a", "n/a", "60.56", "4328f7206db519cd4e82283211d98e83", "196608:gCrMrZZfKX3DZHrNcTvyd7o4NTqxESj24MC12uU3QT2liSW3Rummqpc:ns7fKnDZLNcTv2o45Yj5MC12u4DiSqHT", "T186A6333C4F4CDEB5EA4A113DC5DA3FFA0B8BA5D8A735CA5C4BE6022B5901AC053261DD"
"2024-11-05 09:44:53", "0dc03de0ec34caca989f22de1ad61e7bd6bc1eabc6f993dbed2983f4cc33923d", "d4e3a11d9468375f793c4c5c2504a374", "6dc95fc874fcadac1fc135fd521eddbdcb63b1c6", "SecuriteInfoCom", "SecuriteInfo.com.Trojan.Siggen29.64132.8972.20040", "exe", "application/x-dosexec", "n/a", "n/a", "47.22", "c5f00a6fe8c8d189216e47cc0bff8748", "49152:yic0Ug34MNv4Kwu3zuSTQP76Nuudqx7eY1wn8mZ:0FcbTQP76Nuudqxkn", "T134759D56B3E401F8E1A7C138C9574A1BE7B2B855036097DF03A486662F23BE16F3E761"
"2024-11-05 09:42:54", "b4ed53947a407459822c5d352bb5300a5885b9dec2b6c319c48f54b57a02e2eb", "2f2a8968bcdc26dc26f35a7f0e741b94", "8ff2c4c2bac54fc34c12ee6e8b2349141ae1703c", "Bitsight", "file", "exe", "application/x-dosexec", "n/a", "n/a", "56.94", "2eabe9054cad5152567f0699947a2c5b", "49152:DNK2tJryjBRc3ly9HOPtPRDkeqipcoM1UM:U2tJoBe3kHKCeqP7", "T157E54AD2B18672CBE68E377940A7CE42B91D02FC07158FD3986864BA7DABCD115E6C34"
"2024-11-05 09:40:08", "6b510337bcd1f004ea05de9d848bd8316d2f2c3c6fcba6e84bc31d87fd1e36aa", "97ffda88c14091b87669cb41f2716d47", "c078d574b72f30a229aa34b13b22443b87c8cb20", "mohit", "MEA.apk", "apk", "application/zip", "GoldDigger", "n/a", "25.81", "n/a", "393216:+AiHDxXIQekExHQ7ZqVWRRdsnjuasOgS0:WebxHQ7ZwWndsnjuasOd0", "T1F5D61243F388A99AC4FB93324A79123966178D664B43D7C32E09723C5AB76C45E1DFC8"
"2024-11-05 09:36:25", "973acf04f0905935d5c16f64f0de9b8be9f3a27f9bbee797e9eea5c156653ec3", "ab41832f124bb6936ed5308e2a9b0fb9", "670103396d4017dfd2e6e89bb19ec2b7b5ed48c1", "abuse_ch", "bins.sh", "sh", "text/x-shellscript", "n/a", "n/a", "26.23", "n/a", "192:xqbj53uX3IT/Pr3aSGPzmqH0MA1iq0Gt2MA1iqcX3IT/Pn6SGPzmq053rx:xqbj53uX3ITXr3wP0MA1iq0Gt2MA1iqH", "T1F6229DC93208353B5711CF2978AAD444B388ADD45DCAC775A48CA8F5C2E9FC9BE11EB1"
"2024-11-05 09:36:25", "cc366c3cb1c65f96a8fbf2b6c2d4d3e8787a77bdfb0e3d9413e5d8020cda9041", "9f2af61449faf42d605e3936b4e8942e", "d3fb55c0dffdd78ab880aaffb341067d7a190d90", "mohit", "latamAirLines.apk", "apk", "application/zip", "GoldDigger", "n/a", "26.47", "n/a", "393216:J/i7bzxX/Hx8I/hTAUl42TduLUvpeO8SYYtMg/:J/05hWIzpP8sM0", "T1E0E61247F388A89AC0F793324979023566174D668B43DB836E09763C5AB7AD01F5EFC8"
"2024-11-05 09:35:59", "d6787107b40d3d9c65b07aea10e10fa14ff04efbb497b6caf5854812d8e7648b", "fb788c569d7b0acf5546340aa85cd0a6", "dcbf06332153a462e67e27c74929af46a5a83d39", "Bitsight", "file", "exe", "application/x-dosexec", "n/a", "n/a", "51.39", "b237ac2118704db9e7609540658f5790", "98304:MmWSpnQNESCZFPABbU7sfPbB3w5N0tql9QvqdNGsrySNe1bydKDMv7KKxM:MmPptSCZFPABg7Yb9uCu95DGoNrnzKKx", "T1BA4623D231697F7CD8936DF8AC08A236C0E3617D97BC23957C688535D862E881D3397A"
"2024-11-05 09:33:08", "0cf58d920b324686dd3d91f844307f32c058673efcb646079edc251371e2307e", "d4368caefcfb7031c5d5225bb103946e", "a0149c05bd4569c607beffb4a420e2375b6159b4", "threatcat_ch", "November_5th_2024_SWIFT_REFERENCE_DETAILS_30192_24009_40292_20010192.exe", "exe", "application/x-dosexec", "n/a", "n/a", "30.56", "f34d5f2d4577ed6d9ceec516c1f5a744", "3072:7QT0ddFdc3ctjO6qOzBl0aFyrkWMRcEVENHsyRI+JyoxSEKxd/sGjcTs6gkfc7fU:7QCdFJOGzIrsyW+c3EExRo4moZtzd7O", "T1DB2407A4CBB8C617C58D92FEE4D8820987A1C116F38ABFC65065A7EA1D0237CDDC51E7"
"2024-11-05 09:32:44", "441147d44772362fe1d8efc3f8f36bbb55dcd165d50227b05320c5e5557d220c", "d98eca55b5386fba824026cadb1b94de", "2bfdf079f15f36db98d8524f090b49f6cca7b04f", "Bitsight", "file", "exe", "application/x-dosexec", "n/a", "n/a", "54.17", "2eabe9054cad5152567f0699947a2c5b", "49152:gVDjKHHmuq/NhGZh+zbNRN/sh4leGK7ghiP:GDjSHmuq/NhGT4NxlL2+i", "T1E0D539D6A50566CFD4CE27B49527CD8A996D07F84B2009D3AC2C787ABE63CD016F6C38"
"2024-11-05 09:32:31", "e0d64d8bfb6bcf0e1b9ee2989b919e7b6767288153338ed999cefb3b41cf07e4", "2edd0a55ddabfe03d1e524227e6865c5", "e3d6f4b661ebdc79054b4afb0c54a1392ad4c34e", "Bitsight", "file", "exe", "application/x-dosexec", "n/a", "n/a", "41.67", "948cc502fe9226992dce9417f952fce3", "12288:FqDEvFo+yo4DdbbMWu/jrQu4M9lBAlKhQcDGB3cuBNGE6iOrpfe4JdaDga/Tk:FqDEvCTbMWu7rQYlBQcBiT6rprG8abk", "T169159E0273D1C062FFAB92334B5AF6515BBC69260123E61F13981DB9BE701B1563E7A3"
"2024-11-05 09:30:36", "258efc562b67f0fbecfd4dd8af98d134085073511765ccc7c9d818679b374ae0", "1702fc0ea816bbc6608d468c55ce7876", "4ded0409d30fb58b0577f26f7b01f2b80e385dbf", "mohit", "M-PAjk.apk", "apk", "application/zip", "GoldDigger", "n/a", "45.59", "n/a", "393216:ynmxqxXYFCkIV1tVFtcqZ4dF5m+r6efiNpqpMgo:ywTqHczdF5m+rlgpqpM/", "T176E61247F388A8AAC4F753364A79163A55078D668B838BC32E15723C1AB76D04F5DFC8"
"2024-11-05 09:29:31", "f2241314a8601e3c955f96e5923407a14adac63c7dae4c38a98e83e15a53dbde", "633666f89989893c93ed09495b8e7654", "dcea649bcc9ef8860d99d8e5177999c86d573f43", "threatcat_ch", "FİYAT TEKLİF İSTEĞİ_xlsx.exe", "exe", "application/x-dosexec", "n/a", "n/a", "26.39", "f34d5f2d4577ed6d9ceec516c1f5a744", "12288:vwX2viWoHLlbxyO9vrws43UasBY8y8hPDEvw/ceyFi/2icuFeA:vwmKWo5VyOFwsIsBjdDx7ykOyFeA", "T19405ACC03A3A7B19DE7867F18A29DDB503B51A68B415FAE65DCE77C33098B015A08F03"
"2024-11-05 09:26:44", "6db38d31b7d4161d6481d36d63beb4c4334af0ab052215b7e7b00cb1b4ca29d9", "52ccf4cbfcc91f7b2a3bdb9802fc8bc1", "834825ff5f0e18c6f460f21e952e211089a06f7f", "mohit", "AHU Mobile.apk", "apk", "application/zip", "GoldDigger", "n/a", "28.36", "n/a", "196608:8AEP4dDuuFxXkM9U2WWGJ22TFlgfsi8EtYCa+Az99mrCVTkpdAq0KcF3KMOgbZST:yQ3xXkMDWruYIY7+Az9f8deZGg9QX7", "T166D61247F388A89AC4FB53364A79123566074E664B838B836E49723C5AF76D44F0DFC8"
"2024-11-05 09:11:23", "26309ceffdfb8ef91a3d435a569841ed8532f855557aeee54620a54e2c2dceca", "27804d55f185edb91ed8ec5c15066fe5", "6b5339943f113562612b929604f850ccdfa2681a", "zbetcheckin", "27804d55f185edb91ed8ec5c15066fe5", "exe", "application/x-dosexec", "n/a", "n/a", "51.39", "646167cce332c1c252cdcb1839e0cf48", "98304:yfz+nFIl9jheluAfkir3x/rgoihJGK1GVkY+Qd8snFRT66C5K8MSvnGdv8WGCP:yL+nGvhe8AxrXiPyVk19b91CP", "T1ED46339675DCA552ED3103F70DB3C28329363E78534AB257025DE22910529E0AEBB7EF"
"2024-11-05 09:00:22", "71f3f38e80399f9278c1569eeb96ac8468e165df8b1204cebbf5d33cf1e81ef6", "9482b9926b0544579a7d4f07ead592f6", "9a0798a07ec6d3b7b149a54e034ea52995bcf68a", "mohit", "VssID (2).apk", "apk", "application/zip", "GoldDigger", "n/a", "22.39", "n/a", "393216:EqqaHuvbntTDlnZNUPbFxXCxe0HD1CoO85/WT6ggdc6M:VmfnWgCohBgaU", "T1F9072243F388999AC4F793364A79127566078D6A8B83CB832E05763C5AB36D01F5DFC8"
"2024-11-05 09:00:10", "b39398684ecb03eb8ec7e1288b01cb1cd0d14b263ccb3579456592c1b234617b", "cba1a6515c0ac0889f04664fedaec3e3", "ff6672ec2a7960cfee821abedf3f2ca71e396206", "Porcupine", "z120X20SO__UK__EKMELAMA.exe", "exe", "application/x-dosexec", "GuLoader", "n/a", "14.08", "ced282d9b261d1462772017fe2f6972b", "12288:B0kvxRgbWjWwCpAx0CGznjfIpEj5pWly3X4UxZYQSxRR1k6tZcFjacQ34rmQ:hvxibaQS0dIpEj5YlXuZ4xT1/4IcL", "T15B05234F6A76C417CB1A4130A6FAF98C13EBAE6A18C3C76B17817749783059B0C2F895"
